text,class
says  man  silenced  jounalists  blocked  channels  speaking  ap  meet,neg
bap  dgp  acting  crime  cbn\n\ndeployed  ap  police  snoop  &amp  distribute  money  ts,neg
baddressing  print  &amp  electronic  media  filing  complaint  data  theft  cyber  crime  police,neg
happened  fake  tech  god  trying,neg
bfiling  complaint  cyber  police  data  theft,neg
says  man  silenced  jounalists  blocked  channels  speaking  ap  meet,neg
addressing  print  &amp  electronic  media  filing  complaint  data  theft  cyber  crime  police  cyberabad,neg
baddressing  print  &amp  electronic  media  filing  complaint  data  theft  cyber  crime  police,neg
vizag  clean  last  yrs  leave  foundations,pos
responsible,pos
election  commission  india  allow  people,pos
bchoose  wisely  choose  best,pos
capable  reversing  case,pos
goes  thief  disguise  website  working  purging  old  codes,neg
sufficiency  world  mans  need  mans  mahatma  gandhi  \n\ndownfall  criminal,neg
fundamentally  wrong  ap  harsh  truth,neg
bwith  staring  huge  defeat(  end  career)  loyal  turn  approver,pos
everyday  making  allegations  govt  till  silent  matter,pos
contractor  built  cyber  towers  hitech  city  also  build  ntr  trust  bhavan  contractor  given,pos
beveryday  making  allegations  govt  till  silent  matter,pos
new  video(full)  man  sebastian  seen  telling  mla  stephenson  chandrababu  agreed,pos
bration  card  numbers  ap  total  number  families  andhra  pradesh  feeding,pos
bwhy  filing  case  jagan  anything  wrong  \n\ndrama  cbn  fly  cbn,neg
website  shutdown  wake  scared  events  happening,neg
projects  become  fun  regime  wonder  cbn  army  nothing  make  fun,pos
fake,neg
projects  become  fun  regime  wonder  cbn  army  nothing  make  fun,pos
bwhat  happened  fake  tech  god  trying,neg
beware  youth  register  anta  careful  details  giving,pos
band  goes  thief  disguise  website  working  purging  old,neg
vote  yes,pos
central  agency  launched  probe\n\nhope  modibjp,pos
entire  state  angry  itminformation  theif  minister,neg
jeff  bezos  trouble  becoz  comes  hyd,neg
entire  state  angry  itminformation  theif  minister,neg
\nsevamithra  call  lol,pos
press  meet  cyberabad  police  commissioner  sri  vc  sajjannar  clearly  explains  chandra  babu  &amp  co  abused  citizen,neg
bthis  fundamentally  wrong  ap  harsh  truth,neg
bwho  responsible,pos
bthe  contractor  built  cyber  towers  hitech  city  also  build  ntr  trust  bhavan  contractor,pos
bvote  yes,pos
thenwhat  paid  yellow  mediawhat  biased  news  coverageyou  harming,neg
vote  gone  sir  \n\nguys  pls  check  voters  online  app  call  helpline\nfeeling  shy,neg
bfollow  thread  \n\nexplained  clearly,pos
bec  forget  abt  executer  law  dgp  atleast  law  abiding  officer  shud  dgp  elections  light,neg
"mr  building  ap  capital  amaravati  city  clouds  like   ""cloud  computing ""  nothing  concrete",pos
keep  cheap  politics  keep  marching  forward  great  news  maam,pos
voicetelangana  venkeyrules  lokesh  please  continue  strategy  pr  works\n\nso  elections,pos
calls  bluff  exposes  paid  twitter  handles,neg
voicetelangana  venkeyrules  lokesh  please  continue  strategy  pr  works\n\nso  elections,pos
years  back  tried  bribing  mlc  got  cought  red  handed  left  common  capital  betrayed  ap,neg
look  bellow  tweet  \ncrystal  clear  explanation  tdp  govt  ruined  state  breached  ap,neg
threat  people\n\nbe  politician  india,neg
lokesh  please  continue  strategy  pr  works\n\nso  elections  become  cake  walk,pos
hey  strong  proofs  go  submit,pos
bhave  look  bellow  tweet  \ncrystal  clear  explanation  tdp  govt  ruined  state  breached,neg
fake  account,neg
blokesh  please  continue  strategy  pr  works\n\nso  elections  become  cake  walk,pos
bnever  saw  responding  one  issue  much  may  tweet  deck  like  minspost  &amp  topic,pos
blame  someone  cover  corruption  like  \npaid  twitter  tweets  cover,pos
yellows  unable  argue  gets  frustrated  use  cowardly  tactics  like  abusing,neg
dislike  option  twitter  tweets  deserve  dislikes  likes,neg
similar  charges  dgp  thakur  yellow  people  believe  crying  cp  sajjanar,neg
bno  security  personal  data  ap  govt  apps  mobile  number  aadhar  data  available,pos
video  separate  fan  base\n\nwho  invented  cell  phone  \ncbn  invented  computer  \ncbn,pos
\nam  sure  done  deliberately  someone,pos
\nam  sure  done  deliberately,pos
sir  high  time  kcr  garu  interfere  give  another  strong,pos
dear  sold  private  data  better  come  answer  public  dont  blame,pos
fake  accounts  false  expose,neg
grids  developed  app  tdp  gained  access  personal  info  sensitive  data,pos
tdp  grid  sketch  \nto  get  anti  tdp  voters  removed  voters  list  ap,neg
bthis  video  separate  fan  base\n\nwho  invented  cell  phone  \ncbn  invented  computer  \ncbn,pos
bwhy  much  frustration  data  government  schemes  beneficiaries,neg
wonder  called  telugu  drohula  &amp  yellow  media  trying  hard  project  ts,neg
first  allthe  allegations  made  evms  demanded  ballet  papersnow  votes  deleted,neg
bexcellent  analysis  please  follow  link,pos
hey  strong  proofs  go  submit,pos
spread  word  exploit  tdp  scamsters,neg
bi  want  ask  directly  chief  electoral  officer  data  available  app,pos
grids  developed  app  tdp  gained  access  personal  info,pos
dont  think  people  believe  recent  data  stealing  scam  grid  proof,neg
"b ""mother  fker  pappu\nremoved  vote\nsoon  youll  bebehind  bars  stupid",neg
bspread  word  exploit  tdp  scamsters,neg
bfirst  allthe  allegations  made  evms  demanded  ballet  papersnow  votes,neg
cbn  appointed(  bjp  helped)  men  powerfull  places  escape  cases\n\n  jsatyanarayana  udai  chairman  (  aadhar),pos
"b ""i  dont  think  people  believe  recent  data  stealing  scam  grid  proof",neg
bjust  wanted  see  bots  workvotes  mins  impressive  ppl  nice  brains  behind,pos
bno  tv  channels  talking  data  breach  chandra  babu  naidu  conspiracy,neg
calls  bluff  exposes  paid  twitter  handles,neg
blevel  pathetic  politics  tdp  gone  gutters  moral  right  remain  cm  hold,neg
bhow  many  form  filled  last  years  \n\nover  lakh  voters  names  missing,neg
"one  fake  account  tweets  comments   ""trsgovtstealsdata ""etc  replies  last",neg
keep  cheap  politics  keep  marching  forward  great  news  maam,pos
\nbelow  link  register  ur  mobile  number  voter  id,pos
please  look  fraud  international  scam  data  valuable  information  people,neg
sir  cheater  stole  ap  data  hyderabad  firm  benefit  caught,neg
"bone  fake  account  tweets  comments   ""trsgovtstealsdata ""etc  replies",neg
belse  ap  cm  brainless  son  go  length  destroy  opponents  even  share  data,neg
bit  grid  scam  owner  ashok  absconded  hard  disks  containing  crore  andhra  peoples  personal  data  (names,neg
\n\ndonga  chibn  hiding  owner  narakatti\n\nnow  hiding  behind  data  company  owner,neg
lakhs  voters  names  learned  deleted  fake  surveys  using  form  online\n\nin,neg
leakesh  bhaya  please  check  screen  shot  tdp  app  owner  (dandu)  appstore,pos
"bmr  building  ap  capital  amaravati  city  clouds  like   ""cloud  computing ""  nothing",pos
\n\nyou  cheated  ap  people  theft  personal  data,neg
bon  one  hand  ycp  fighting  hard  remove  bogus  tdp  votes  andhra(dual  voters)  hand,pos
scam  exposed,neg
pls  look  andhra  pradesh,pos
real  face  people  always  get  worst  ways  mid  slinging,neg
true  case  lo  thanthe  andhra  karakatta  lo  paddadu\nipud  case  tho  thanthe  direct  singapore  lo,pos
brecovering  deleted  data  hard  disks,neg
getting  ready  future  plannings  best  sir,pos
lakh  votes  removed  authorities  adding  fake  applications,neg
delete  voter  list  keep  votes  ur  mlas  janmabhoomi  committee  members  votes  win,pos
stop  fake  propaganda  sir  got  data  chor  shit  win  swat  everyone,neg
brightly  apts,pos
real  face  people  always  get  worst  ways  mid  slinging,neg
even  unions  far  initiated  discussion  unhealthy  practice  even  though  clear,neg
name  leakesh  data  leaked,neg
bafter  name  leakesh  data  leaked,neg
fake,neg
bthen  shit  scared,neg
sir  cheater  stole  ap  data  hyderabad  firm  benefit,neg
best  recent  times  afraid  using  symbol  fan  nd  symbol,pos
beverybody  please  check  vote  list  well  money  bank  accounts,pos
busy  buying  fake  tweets,neg
bap  tdp  govt  said  (hyd  )ceo  ashok  chowdhary  hiding  amaravati  handover,neg
data  thieves  graphics  designers  foundation  stone  makers  twitter  personnel  hawala  gangs,neg
hahaa  idiots  thinking  whole  world  fools  clearly  tdp,neg
day  day  descending  abyss  morally  ethically  win,pos
criticizing  everything  govt,neg
feeling  ashamed  minister  like  proved  equally  cuplable,neg
key  suspect  data  breach  scam  ceo  grids  india  ashok  dakavaram  gone,neg
stolen  ap  voters  data  amazon  cloud,neg
bwe  feeling  ashamed  minister  like  proved  equally  cuplable,neg
wow  amazing  \nyour  popularity  spreading  like  wild  fire\npeople  know  read,pos
nothing  funny  confidence  telugu  dopidi  dongala  telugu  data,neg
lakhs  voters  names  learned  deleted  fake  surveys,neg
ba  warning  police  twds,neg
chairman  satyanarayana  ji  trai  chairman  ji  assured,pos
involved  data  scam  voter  deletion,neg
confirm  ur  bot  please  describe  case  details  least  summary,pos
tdp  stealing  data  tdp  convince  tdp  vote,neg
lying  misutilised  data  political  use\nhope,neg
someone  please  translate  case  barking  without  knowing  basic  details  &amp,pos
" ""data  dongal ""  stolen  data  ur  people  blaming  telangana  government  don\t  behave  like",neg
oh  shankara  \nif  fake  cbn  would  hosting  dharana  delhi  modi,neg
oh  shankara  \nif  fake  cbn  would  hosting  dharana  delhi  modi,neg
btdp  stealing  data  tdp  convince  tdp  vote,neg
total  life  false  prestige  lies  paid  fake  tweets  paid  media\n\nmedia  management,neg
lakh  votes  removed  authorities  adding  fake  applications,neg
\n\nyou  cheated  ap  people  theft  personal,neg
\n\nyou  cheated  ap  people  theft  personal,neg
lol  merre  dongatanam  chesi  mali  merre  donga  anntunaru  read  comments,pos
ap  govt  gave  data  private  company(  data  grid)  illegally  delete  lakhs  opposition  votes  crime  \n\nthat,neg
\n\nyou  cheated  ap  people  theft  personal,neg
\n\nyou  cheated  ap  people  theft  personal,neg
shameless,neg
thinking  like  stopping  illegal  activity  also  favouring,neg
bthis  best  recent  times  afraid  using  symbol  fan  nd,pos
bnext  level  malpractices  great  visionary  per  kula  medias  cm  shares  chair,pos
bap  govt  gave  data  private  company(  data  grid)  illegally  delete  lakhs  opposition  votes  crime,neg
bdelete  voter  list  keep  votes  ur  mlas  janmabhoomi  committee  members  votes  win,pos
veellandariki  ae  correct  please  release  movie,pos
worried  kcr  \nyour  fathers  competitors  donald  trump  vladimir  putin,neg
bthe  key  suspect  data  breach  scam  ceo  grids  india  ashok  dakavaram  gone,neg
yes  stolen  given  ap  govt,neg
data  privacy  policies  likes  microsoft  delliotte  fb  etc  super,pos
dear  plz  take  serious  action,pos
clearly  none  people  anything  ap  telangana  dont  understand  dynamics  two  states,pos
please  take  action,pos
breason  desperate  cbn  illegal  criminal  activities  \n\nwith  scam  even  neutral,neg
silly  talking  like  years  exp  hell  man,neg
cm  kcr  emerged  honest  strong  visionary  leader  telangana  pan  india(if  want),pos
"creating   ""great  man ""  image  nothing  \nwhen  inquiry  created   ""chaos ""  shouting  gave",pos
"bcreating   ""great  man ""  image  nothing  \nwhen  inquiry  created   ""chaos ""  shouting",neg
catch  one  scam,neg
hell  tdp  gave  personal  data  ap  people  hyderabad  based  private  company  first  place,neg
minister\n\ninformation  thief,neg
blooks  like  one  getting  joke  following  whats  going  ap,pos
take  screenshot  catch  scam  let  us  know  one,neg
lakh  votes  removed  authorities  adding  fake  applications,neg
getting  ready  future  plannings  best  sir,pos
bcbn  appointed(  bjp  helped)  men  powerfull  places  escape  cases\n\n  jsatyanarayana  udai  chairman  (,pos
bwe  request  sir\nplease  send  jail  scam,neg
fellow  gone  mad,neg
bstolen  ap  voters  data  amazon  cloud,pos
planning  complaint  cybercrime  twitter,neg
shame,neg
son  stolen  data  ur  people  blaming  telangana  government  dont,neg
sir  answer  hell  even  condemn  data  theft  issue  saying,neg
aadhar  data  theft  cbn  blaming  telangana  government  caught  red,neg
lying  misutilised  data  political  use\nhope,neg
shame,neg
time  play,pos
mean  justice  cooperated  ts  govt  save  privacy  cr,pos
case  clearly  showing  cbn  planned  buy  voters  online  payments  coming  elections,pos
"b ""donga  dorikesadu  anduke  edupu  dont  leave  time  trying  potrait",pos
dear  national  media  guys  observing  biggest  voter  data,pos
missing  exchequer  money,neg
bcatch  one  scam,neg
time  play,pos
take  screenshot  catch  scam  let  us  know  one,neg
take  screenshot  catch  scam  let  us  know  one,neg
bwow  amazing  \nyour  popularity  spreading  like  wild  fire\npeople  know  read,pos
shameless  are\ni  dint  see  kind  interesting  headlines,pos
clearly  none  people  anything  ap  telangana  dont  understand  dynamics  two,pos
leakesh  bhaya  please  check  screen  shot  tdp  app  owner  (dandu),pos
sir  answer  hell  even  condemn  data  theft  issue,neg
lakhs  voters  names  learned  deleted  fake  surveys  using  form,neg
loki  papu  like  retweet  read  write  telugu,pos
vizag  clean  last  yrs  leave  foundations,pos
tdps  gone  verified  accounts  caught  redhanded  tweeting  favour,pos
mr  fantastic  lot  work  past  years  knows  today,pos
bso  pity  \n\nnext  cm,neg
btdp  app  keeps  aadhaar  information  amazon  cloud  times  india  via,pos
ap  police  threatened  says  data  theft  complainant  times  india  via,neg
bap  police  threatened  says  data  theft  complainant  times  india  via,neg
"b ""clearly  none  people  anything  ap  telangana  dont  understand  dynamics",pos
lakh  votes  removed  authorities  adding  fake  applications,neg
bnaidu  became  laughing  stock  trying  trend  hashtag,pos
getting  caught  red  handed  bluffing  became  regular  habbit  yellows\n\ntheir  intellect,pos
please  go  ram  take  necessary  actions  save,pos
came  join  hands  thieves  \n\nwho  stole,neg
bi  minister\n\ninformation  thief,neg
yes  every  voter  watching  guys  cheated  ap  people  know  behind  thefting,neg
babu  anything  power  kill  ntr  use  media  mafia,neg
bsir  case  ina  prove  cheyinchandi  increas  hopes  ap  people,pos
wonder  called  telugu  drohula  &amp  yellow  media  trying  hard  project,neg
kind  tweets  shows  corrupt  scared  current,pos
claiming  ur  voting  right  danger  ur  administration  resembles  worst  ur  administration,neg
friends  please  check  urs  family  votes  anyones  vote  missing  dm,pos
grids  belongs  tdp  data  stolen  yellow  people  cheap  cheap  politics  mr,neg
ensure  nd  ur  family  members  names  included  list  ensure  come  vote  april,pos
bensure  nd  ur  family  members  names  included  list  ensure  come  vote,pos
nareshsir  gave  word  stand  thatdont  worry  mp,neg
thanks  ur  retirement,pos
link  please,pos
thanks  ur  retirement,pos
anna  please  frwd  video  whatsapp  number,pos
anna  please  frwd  video  whatsapp  number,pos
true  share  guys,pos
btrue  share  guys,pos
"b ""why  silence  many  years  worked  bjp  years  plz  comment  stays  sc  dont  play  cheap",neg
brightly  said  sir,pos
bmrlokesh  bill  value  parkhyatt  hotel  family  stayed,pos
dear  backdoor  minister  built  house  amaravati  whereas  built  hyderabad  people,pos
hope  meeting  delete,pos
according  advice  vote  thank  cm  sir,pos
dear  backdoor  minister  built  house  amaravati  whereas  built  hyderabad,pos
dear  caretaker  backdoor  minister  meeting,pos
stays  babu  want  link  sr  ntr  baby  please  feel  free,pos
dear  caretaker  cm  believes  game  ap  freed  worst,pos
(nara  lokesh  special  status,pos
minister  backdoor  like  father  gets  paid  tweets  looks  like  made,pos
still  terrified  face  media  time  tweet  time  address  issue,neg
deceiving  kapus  centre  announced  scheme  would  implemented,neg
"b ""people  ap  looking  rajanna  rajyampeople  suffered  enough  rule  theyre",neg
yes  yes,pos
"b ""overall  shown  politics  must  completely  exposed",neg
silly  one  beyou  make  videos  audio  recordings  drama,pos
unethical  leader  indiahe  entered  alliance  far  enjoy,neg
saying  cannot  take  action  offenders  case  dont,pos
blooks  like  minister  country  gets  paid  tweeting  enjoys,pos
proof  maybe  office  something  wrong  desperation  clearly  showing,neg
amazing  power  hurl  allegations  without  proofs,pos
already  shared  everyone  government  find  new,pos
changes  names  schemes  launched  central  government  hoodwink  people  people  well  aware,pos
dear  doddidari  minister  looks  like  dad  made  minister  tweeting,pos
hes  also  chief  minister  promised  waive  loans  ended  cheating,neg
youre  trouble  would  declare  ur  assets  keep  gullible,neg
sir  play  videos  cbns  false  promises  made  elections,pos
yes  yes,pos
forgot  another  thingfarmer  appudu  ayithe  farmers  death  aagido,neg
fyi  bc,pos
people  visiting  everyday  expressing  satisfaction,pos
prove  happening  guts  accept  babu,pos
fool  need  tvsakshi  tv  apple  iphone  xr  mana,neg
need  come  take  camera  shoot  telecast,neg
sir  play  videos  cbns  false  promises  made  elections,pos
janalu  dabbulu  tintu  abbadhalu  cheptunadu  mee  cbn  want  come,pos
cbn  dynamic  leader  ap,pos
interview  seperate  fan  base,pos
women  fulfill  dream  higher  education  fees  reimbursement  scheme  new  liquor  policy  greatly,pos
sir  awesome  undhithat  intensity  peeks,pos
wow  request  ravi  prakash,pos
women  fulfill  dream  higher  education  fees  reimbursement  scheme  new  liquor  policy,pos
sir  awesome  undhithat  intensity  peeks,pos
btoday  mrng  \nfound  something  interesting  car  gutty  felloww  \n\nhiding,pos
ap  needs  vision  prison,neg
whats  wrong  raids  clean  action  right  minister,neg
want  votes  well,pos
(tdp)  plan  delete  ycp  votes  flop  good  issue  identified  time,pos
whats  wrong  raids  clean  action  right,neg
saying  tdp  lose  mean,neg
per  ysrcp  going  win,pos
want  votes  well,pos
kutamulu  kutralu  chesedi  bobji\n\nkcr  fought  &amp  elections  alone\n\njagan  fought,neg
years  industry  scams,neg
good,pos
respected  nia  investigation  done  far  know  filed  charge  sheet  say,pos
respected  nia  investigation  done  far  know  filed  charge  sheet,pos
another  entrepreneur  summit  kind  gimmik  well  done,pos
also  like  lac  crore  mou  thing,pos
time  please  watch  hyderabad  commissioner  live  press  meet,pos
bfake  likes  &amp  fake  tweets,neg
bro  plzz  tell  charge  sheetsi  want  know,pos
seriously  even  steal  data  get  additional  benefit,neg
yes  bitch  cm  briefed,neg
mr  naidu  agree  incapable  protecting  vote  wonder  votes  got  deleted,neg
(tdp)  plan  delete  ycp  votes  flop  good  issue  identified  time,pos
dont  go  indefinite  hunger  strike  become  heroes,pos
mr  naidu  people  well  aware  committed  great  crime  affecting  elections  financial  security  ap  &amp,pos
im  example  lost  vote  fraud  activities  cheater  dare  face  interrogation,neg
watch  video  enlighten  us  betrayed  ap,neg
bmrlokesh  tdp  data  public  data  illegal  crime  hold  data  given,neg
bmr  naidu  people  well  aware  committed  great  crime  affecting  elections  financial  security,pos
bmr  naidu  agree  incapable  protecting  vote  wonder  votes  got,neg
stand  paid  twitter  attack  tg  state  mr,neg
call  money  sex  racket  \nsand  mafia\nerra  chandanam  smuggling  \ncapital  lands,neg
comedians  meeting  funny,pos
day  sons  criminal  activities  increasing  telugu,neg
"b ""voters  complaint  numbers  grievances",neg
delete  votes  government  please  stop  cheap  politics,pos
handing  data  voters  pvt  institutions  misutilising  unconstitutional  illegal  voilation,neg
corrupted  politician  polluted  media  manager  \nchandra  babu  playing  danger,neg
precious  words  cbn,pos
im  example  lost  vote  fraud  activities  cheater  dare  face,neg
bhanding  data  voters  pvt  institutions  misutilising  unconstitutional  illegal,neg
day  sons  criminal  activities  increasing,neg
worst  ways  choose  really  worst  govt  ever  seen  guys  always  trying  make  people,neg
worst  ways  choose  really  worst  govt  ever  seen  guys  always  trying  make,neg
pls  check  voters  information  process,pos
ditched  ysrcp  defected  mlas  denies  tickets,neg
ditched  ysrcp  defected  mlas  denies  tickets,neg
andhra  pradesh  battle  versus  battle  statement  picked  ap,neg
good  titles  roles  real  life,pos
good  titles  roles  real  life,pos
bsir  plz  pay  amount  years  also  manifesto  elections  people,neg
news  false  statements  gone  loosing  badly,neg
byears  back  (before  note  vote  case  front  harikrishna  death  body)  babumodipavankcr,neg
dear  pappu  broker  yellow  media  time  social  media  time,pos
biggest  data  scam  india,neg
biggest  data  scam  india,neg
done  nothing  wrong  worried  raids  companies  provide  service,pos
sir  plz  take  issue  ec  supreme,pos
done  nothing  wrong  worried  raids  companies  provide,pos
garu  punches  cbn  block,neg
yes  rd  law  already  applying  andhra  government  misuses  police,pos
dear  pappu  every  one  knowing  facts  elections  nandhyla  countdown,pos
dear  pappu  every  one  knowing  facts  elections  nandhyla  countdown,pos
please  act  fast  dont  believe  cm,pos
bsir  plz  take  issue  ec  supreme,pos
yes  rd  law  already  applying  andhra  government  misuses,pos
"b ""in  andhra  pradesh  battle  versus  battle  statement  picked",neg
cheap  person  claimed  high  building  ready  moved  amaravati  till,pos
garu  punches  cbn  block,neg
mana  state  ease  business  lo  first  rankonline  apply  chestheoffice  registration,pos
high  time  come  together  &amp  teach  lesson  unethical  politician  &amp  beacon  entire,neg
today  darsi  lo  kapus  joining  ycp  meeting  chicken  dinners  pm\nbanners  pamplets  chesedi  friend  nagarjuna,pos
btoday  darsi  lo  kapus  joining  ycp  meeting  chicken  dinners  pm\nbanners  pamplets  chesedi  friend,pos
mana  state  ease  business  lo  first  rankonline  apply  chestheoffice,pos
high  time  people  ap  come  together  teach  lesson  unethical  politician  beacon,neg
want  andhra  pappu  campaign,pos
bit  high  time  come  together  &amp  teach  lesson  unethical  politician  &amp  beacon,neg
bit  high  time  people  ap  come  together  teach  lesson  unethical  politician  beacon,neg
joke  baga  vesavim,pos
ysrcp  stand  beginning  havent  changed  words  like,neg
"b ""please  act  fast  dont  believe  cm",pos
never  estimate  silenceand  small  regional  jagan  help  ap  people  realize  scs  dreams,pos
cheap  person  claimed  high  building  ready  moved  amaravati  till,pos
tdp  curse  andhra  pradesh\n\npraying  god  tenure  end,neg
way  cheat  people  voted,neg
bnever  estimate  silenceand  small  regional  jagan  help  ap  people  realize  scs,pos
already  promises  fulfilled  great  ysr,pos
patriotic  telugu  journalist  \n\n(tdp  leader  asks  proof  terrorists  tv  anchor  throws,neg
wow  fake  accounts  comments  chesthunaru  thu  rip  tdp,pos
booked  tickets  april  th  good  see  train  going  wl,pos
bsimple  &amp  straight  aiming  easy  win  better  future,pos
bbooked  tickets  april  th  good  see  train  going  wl,pos
